Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
58356,23.3904,83.0360,26,81,30,81,false,43497
58829,28.3443,86.6376,33,86,39,84,false,43497
57962,27.8539,87.2903,37,86,42,85,false,43497
57490,26.7457,87.0821,33,84,39,84,false,43497
57946,28.2823,86.1311,32,84,33,84,false,43497
61848,26.3914,87.3634,28,85,38,83,false,43497
57345,29.0330,88.8599,27,86,45,88,false,43497
59916,24.2082,85.9399,28,87,34,89,false,43497
64561,27.3463,85.6917,32,86,43,85,false,43497
62469,27.1411,85.7798,28,85,39,84,false,43497
60707,24.8889,83.2583,21,78,38,80,false,43497
62472,27.1682,87.7177,30,88,38,86,false,43497
64941,23.6527,85.3884,29,85,28,84,false,43497
63617,24.8749,86.3373,25,85,30,80,false,43497
62949,26.4334,86.7708,29,87,39,88,false,43497
63478,26.2202,85.4615,27,86,35,82,false,43497
65149,21.6737,86.2923,23,82,23,80,false,43497
67048,21.6296,85.0440,21,86,27,83,false,43497
58780,27.9229,86.2923,28,86,35,82,false,43497
62677,29.1732,88.5025,28,87,36,85,false,43497
64389,24.9580,86.6757,28,86,31,84,false,43497
61972,24.4094,85.3734,27,83,31,82,false,43497
60896,26.7828,86.4685,32,88,37,85,false,43497
59377,25.0751,84.9980,26,85,29,81,false,43497
59524,28.8819,86.2563,33,85,46,87,false,43497
65809,24.9610,87.7518,28,88,35,85,false,43497
61684,24.2252,86.7838,26,83,33,81,false,43497
59782,26.9379,82.7437,29,84,38,79,false,43497
61453,25.2352,85.4424,21,81,36,84,false,43497
57321,25.0911,86.1682,31,89,41,89,false,43497
63993,24.2432,84.5255,30,83,33,82,false,43497
61545,23.7828,85.2212,25,85,26,81,false,43497
60610,27.6837,87.0170,33,90,39,86,false,43497
58858,24.2733,84.4104,25,85,30,84,false,43497
59470,26.8879,85.3984,29,85,35,83,false,43497
62811,25.2833,86.5826,28,90,41,89,false,43497
63040,25.5285,87.4484,25,86,39,87,false,43497
55491,28.0521,85.0881,34,85,42,83,false,43497
59767,26.4154,86.1131,29,88,37,84,false,43497
59780,24.3504,84.0290,25,84,33,83,false,43497
62221,25.0250,82.5916,29,80,35,82,false,43497
62467,26.6677,88.6957,29,88,33,88,false,43497
63662,23.0070,83.8939,24,81,27,81,false,43497
58663,26.7808,86.7578,26,87,38,85,false,43497
61572,26.6386,88.2142,26,88,32,85,false,43497
57294,29.9930,88.0601,39,88,43,85,false,43497
62245,24.4935,84.8619,25,85,29,80,false,43497
60664,27.9429,86.6446,33,88,39,86,false,43497
62190,27.0851,89.0531,25,89,44,90,false,43497
60369,25.3313,84.1832,27,79,32,82,false,43497
66854,25.6787,87.0030,20,84,33,84,false,43497
65090,25.0460,86.0290,28,84,26,80,false,43497
62103,24.6927,85.5666,31,85,34,86,false,43497
61943,26.4675,85.7548,29,88,33,84,false,43497
65143,23.5175,86.2773,25,85,40,86,false,43497
57812,25.5265,85.9359,28,87,33,80,false,43497
58599,25.5576,86.7508,32,87,38,83,false,43497
57085,28.0911,87.8218,29,87,41,89,false,43497
61806,24.4735,87.4975,22,89,36,86,false,43497
61479,26.1912,86.7558,26,87,39,85,false,43497
62093,26.9920,86.9009,27,85,36,81,false,43497
58763,27.0300,86.3333,28,88,36,83,false,43497
61145,27.2102,84.8769,30,81,40,81,false,43497
62375,28.5806,87.3954,20,85,38,83,false,43497
59121,26.7467,84.9369,25,84,41,85,false,43497
58654,26.4224,88.6216,32,89,34,87,false,43497
63807,23.8078,86.9389,29,88,30,85,false,43497
60337,26.4825,87.0971,27,89,34,85,false,43497
66202,23.4124,84.1011,28,84,33,83,false,43497
63758,28.1822,87.1692,30,84,38,83,false,43497
63664,27.0010,86.1782,28,83,35,82,false,43497
69183,24.9319,89.1211,25,87,36,88,false,43497
65771,24.2963,88.1962,33,91,29,89,false,43497
62167,26.7087,88.0010,25,87,29,86,false,43497
67030,26.9540,88.3243,20,86,36,85,false,43497
61061,27.5526,86.7297,26,88,42,85,false,43497
57327,28.2032,85.5405,35,87,40,85,false,43497
61394,26.9089,85.8939,21,83,37,81,false,43497
62358,25.3744,86.2022,29,88,37,85,false,43497
61844,25.6787,85.1231,19,81,31,79,false,43497
62523,24.8478,86.1331,23,85,42,85,false,43497
65030,24.8719,85.8979,22,84,34,82,false,43497
61184,26.1772,86.9279,31,87,33,85,false,43497
64336,23.4575,87.0811,28,87,30,84,false,43497
65679,24.3343,86.4505,23,89,39,88,false,43497
62633,23.2092,86.4575,22,85,33,82,false,43497
61324,27.1081,87.4234,25,86,37,86,false,43497
66779,23.6226,85.1812,28,82,27,79,false,43497
61003,26.6607,86.3213,27,88,37,88,false,43497
61206,27.6296,86.5355,34,88,38,87,false,43497
