Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
81954,30.4084,89.9940,35,92,42,91,false,69107
89746,26.8889,88.7948,34,90,40,88,false,69107
86991,28.0901,89.4234,35,90,39,89,false,69107
84276,29.0661,91.1201,41,94,45,93,false,69107
84972,29.7457,91.2993,31,93,38,92,false,69107
85327,27.6466,90.9199,29,90,39,88,false,69107
87308,29.4635,90.8739,35,93,42,90,false,69107
86232,29.3874,90.8228,37,91,40,91,false,69107
83794,29.3423,90.7107,34,93,45,92,false,69107
86892,28.7157,91.1652,32,92,33,88,false,69107
78789,31.3343,90.4344,31,90,38,90,false,69107
84987,30.3413,90.6867,31,90,35,86,false,69107
85858,30.3023,89.8168,37,89,43,90,false,69107
87842,30.8168,91.7588,31,90,42,90,false,69107
83726,31.0200,90.9269,35,93,37,90,false,69107
86769,27.0731,88.0581,28,87,37,85,false,69107
83766,27.9029,90.0671,32,91,37,90,false,69107
84362,32.8338,90.4354,28,91,44,89,false,69107
92596,26.8829,91.4304,29,92,32,90,false,69107
86031,29.0741,88.9690,32,91,39,92,false,69107
87868,24.5906,90.9540,32,92,36,90,false,69107
86434,30.0921,91.5946,35,91,37,89,false,69107
89228,26.3804,90.0110,36,92,37,90,false,69107
90534,26.8258,91.4585,31,92,33,89,false,69107
84570,27.1532,91.2162,27,93,34,90,false,69107
80741,30.7057,90.5325,32,91,44,90,false,69107
89725,25.9870,90.4104,34,90,33,87,false,69107
83638,30.1181,90.3053,29,91,38,87,false,69107
88874,27.6426,89.8669,36,90,33,89,false,69107
85058,32.8008,92.5055,42,95,46,91,false,69107
90649,27.7728,88.9690,33,89,42,86,false,69107
82921,30.8569,91.3143,37,92,40,89,false,69107
86462,28.5556,90.9700,32,90,38,89,false,69107
88261,25.9640,88.7287,28,89,34,85,false,69107
86663,28.4915,90.0420,36,92,45,90,false,69107
88207,27.2643,90.5756,37,93,37,91,false,69107
83529,31.5245,88.8328,34,91,47,92,false,69107
84723,28.2973,89.0571,27,88,40,87,false,69107
84657,29.7297,91.1291,32,92,43,91,false,69107
83919,29.6116,91.3524,37,93,43,91,false,69107
86125,26.0440,90.2052,37,90,36,88,false,69107
86016,26.2503,90.4535,31,92,37,92,false,69107
86610,30.1992,91.5135,36,94,44,92,false,69107
85362,31.4264,91.5075,33,92,39,90,false,69107
87347,28.5135,89.5956,29,93,38,91,false,69107
86586,28.1101,89.9029,35,93,32,89,false,69107
88542,27.1471,90.3864,31,91,35,88,false,69107
89958,26.9309,90.6286,33,92,41,92,false,69107
87199,29.9069,92.0250,32,92,40,90,false,69107
89290,30.6166,92.0501,38,93,42,91,false,69107
88428,25.3804,89.3303,31,87,36,90,false,69107
85991,28.8128,90.0601,35,94,38,92,false,69107
83581,30.2102,91.8979,34,94,43,93,false,69107
85389,31.0080,91.6617,34,94,46,91,false,69107
85776,30.9449,91.4645,38,94,37,90,false,69107
89496,28.3443,89.2152,35,90,37,87,false,69107
88629,27.2623,89.4134,30,91,38,91,false,69107
83310,27.6306,90.2723,27,91,31,87,false,69107
84210,29.9049,90.4034,33,93,42,90,false,69107
86439,28.5916,88.9940,26,90,36,86,false,69107
82635,28.0350,88.9580,33,89,38,89,false,69107
86225,28.7087,91.3724,29,93,37,90,false,69107
88595,26.9680,90.5105,31,93,37,89,false,69107
85021,31.1031,91.4805,42,92,43,89,false,69107
84264,29.3413,91.0601,32,93,34,91,false,69107
81356,32.0661,89.1471,36,88,44,89,false,69107
81853,28.4454,90.9389,37,93,37,89,false,69107
87081,29.5315,91.3123,32,91,36,90,false,69107
83930,31.9660,90.4404,38,96,46,91,false,69107
89200,27.8328,88.2963,34,89,37,86,false,69107
86248,28.1451,88.8118,35,90,37,87,false,69107
85906,29.0060,91.7057,39,94,38,91,false,69107
83869,30.2973,91.8438,33,92,37,90,false,69107
81955,27.6837,90.9720,34,91,39,91,false,69107
85817,26.6206,92.1101,33,95,37,93,false,69107
86856,26.4044,88.2192,32,89,39,90,false,69107
84991,29.5706,89.3704,31,91,41,90,false,69107
89533,27.9239,90.7107,34,93,38,90,false,69107
85616,29.8949,90.6977,35,94,44,92,false,69107
87976,30.2262,89.2202,32,92,41,88,false,69107
91302,28.3063,91.4214,32,92,36,88,false,69107
86485,29.2723,91.4394,39,92,43,88,false,69107
87016,26.2913,89.5475,32,90,31,90,false,69107
88558,26.1702,89.9520,34,91,37,90,false,69107
